Product ID,Name,Price,Product Sub ID,Stock,Stock warning,Track inventory,Inventory rule,Items in stock on attr. level
"b7pla023p0","White Triple Oval Brooch Design with Swarovski Element Crystals","42.99000","","1","1","Yes","OutOfStock","",
"b7pla024p0","Green Triple Oval Brooch Design with Swarovski Element Crystals","42.99000","","1","1","Yes","OutOfStock","",
"b7pla025g0","Purple Triple Oval Brooch Design with Swarovski Element Crystals","42.99000","","1","1","Yes","OutOfStock","",
"b7pla026g0","Blue Triple Oval Brooch Design with Swarovski Element Crystals","42.99000","","1","1","Yes","OutOfStock","",
"b7pla027p0","White Flower Leaf Brooch with Swarovski Crystals","54.99000","","1","1","Yes","OutOfStock","",
"b7pla028g0","Orange Flower Leaf Brooch with Swarovski Crystals","54.99000","","1","1","Yes","OutOfStock","",
"b7pla029p0","Red Flower Leaf Brooch with Swarovski Crystals","54.99000","","1","1","Yes","OutOfStock","",
"b7pla030p0","Green Flower Leaf Brooch with Swarovski Crystals","54.99000","","1","1","Yes","OutOfStock","",
"b7pla031p0","White Flower Head Brooch with Swarovski Crystals","48.99000","","1","1","Yes","OutOfStock","",
"b7pla032p0","Pink Flower Head Brooch with Swarovski Crystals","48.99000","","1","1","Yes","OutOfStock","",
"b7pla033p0","Green Flower Head Brooch with Swarovski Crystals","48.99000","","1","1","Yes","OutOfStock","",
"b7pla034p0","Purple Flower Head Brooch with Swarovski Crystals","48.99000","","1","1","Yes","OutOfStock","",
"b7pla036g0","Orange Flower Head Brooch with Swarovski Crystals","48.99000","","1","1","Yes","OutOfStock","",
"b7pla037g0","Pink Swarovski Crystal Brooch with Multi Floral Leaf Design","45.99000","","0","1","Yes","OutOfStock","",
"b7pla038p0","White Swarovski Crystal Brooch with Multi Floral Leaf Design","45.99000","","1","1","Yes","OutOfStock","",
"b7pla039g0","Purple Swarovski Crystal Brooch with Multi Floral Leaf Design","45.99000","","1","1","Yes","OutOfStock","",
"b7pla040p0","Green Swarovski Crystal Brooch with Multi Floral Leaf Design","45.99000","","1","1","Yes","OutOfStock","",
"b7pla041g0","Yellow Swarovski Crystal Brooch with Multi Floral Leaf Design","45.99000","","1","1","Yes","OutOfStock","",
"b7pla042g0","Blue Swarovski Crystal Brooch with Multi Floral Leaf Design","45.99000","","0","1","Yes","OutOfStock","",
"b7pla043p0","Pink Swarovski Crystal Brooch Cat Queen Design","38.99000","","1","1","Yes","OutOfStock","",
"b7pla044g0","Yellow Swarovski Crystal Brooch Cat Queen Design","38.99000","","1","1","Yes","OutOfStock","",
"b7pla045b0","Red Swarovski Crystal Brooch Cat Queen Design","38.99000","","1","1","Yes","OutOfStock","",
"b7pla047g0","Green Swarovski Crystal Brooch Triple Rose Head with Leaves Design","30.99000","","1","1","Yes","OutOfStock","",
"b7pla048p0","Blue Swarovski Crystal Brooch Triple Rose Head with Leaves Design","30.99000","","1","1","Yes","OutOfStock","",
"b7pla049p0","White Swarovski Crystal Brooch Triple Rose Head with Leaves Design","30.99000","","1","1","Yes","OutOfStock","",
"b7pla050g0","Purple Swarovski Crystal Brooch Triple Rose Head with Leaves Design","30.99000","","1","1","Yes","OutOfStock","",
"b7pla051p0","Pink Swarovski Crystal Brooch Triple Rose Head with Leaves Design","30.99000","","1","1","Yes","OutOfStock","",
"b7pla052p0","White Swarovski Crystal Brooch Blooming Flower Head Design","47.99000","","1","1","Yes","OutOfStock","",
