sku	asin	price	quantity
M5CTJ017G0	B00RUB84E6	792.99	3
M5CTJ018P0	B00RUB8V12	792.99	4
M5CTJ019P0	B00RUB9FDA	884.99	1
M5CTJ020P0	B00RUB9YJU	986.99	1
M5CTJ021G0	B00RUBA6YW	986.99	1
M5CTJ022G0	B00RUBAH78	961.99	4
M5CTJ023B0	B00RUBAQAG	961.99	2
M5CTJ024R0	B00RUBB15K	961.99	1
M5CTJ026B0	B00RUBBODO	932.99	1
M5CTJ027G0	B00RUBC30C	932.99	1
M5CTJ028B0	B00RUBCC4Y	854.99	1
M5CTJ029B0	B00RUBCND4	854.99	1
M5CTJ030G0	B00RUBCWP8	1153.99	1
M5CTJ032G0	B00RUBD7CK	1553.99	1
M5CTJ034G0	B00RUBDJ28	1261.99	1
M5CTJ036G0	B00RUB1LSW	1554.99	1
M5CTJ037G0	B00RUB228U	864.99	1
M5CTJ038G0	B00RUB2AXW	516.99	1
M5CTJ041G0	B00RUB3OL4	845.99	1
M5CTJ042A0	B00RUB4AJO	1169.99	1
M5CTJ043S0	B00RUB4Q9I	1169.99	1
M5CTJ044B0	B00RUB50XO	1263.99	1
M5CTJ045G0	B00RUB5M6Y	1263.99	1
M5CTJ046A0	B00RUB64NO	870.99	1
M5CTJ047B0	B00RUB6W90	870.99	1
M5CTJ048G0	B00RUB7MQC	870.99	1
M5CTJ049P0	B00RUB847S	793.99	1
M5CTJ051B0	B00RUB9FLM	884.99	1
M5CTJ052P0	B00RUB9YG8	1081.99	1
M5CTJ053G0	B00RUBA75K	1081.99	1
M5CTJ054B0	B00RUBAHCS	1053.99	1
M5CTJ055G0	B00RUBAQEM	1053.99	1
M5CTJ056G0	B00RUBB18C	834.99	1
M5CTJ057B0	B00RUBBDJO	834.99	1
M5CTJ060P0	B00RUBC9UQ	894.99	1
M5CTJ061G0	B00RUBCMZS	730.99	1
M5CTJ062B0	B00RUBCWI0	730.99	1
M5CTJ063G0	B00RUBD338	1627.99	1
M5CTJ064B0	B00RUBD7KM	1627.99	1
M5CTJ065P0	B00RUBDFEU	1627.99	1
M5CTJ066G0	B00RUBDJ9Q	1128.99	1
M5CTT001G0	B00RW0T9IK	56.99	6
M5CTT002G0	B00RW0TBTC	43.99	7
M5CTT003G0	B00RW0TEV2	43.99	6
M5CTT004G0	B00RW0TGVU	41.99	4
M5CTT005G0	B00RW0TIOK	53.99	6
M5CTT006G0	B00RW0TKS4	62.99	5
M5CTT007G0	B00RW0TMGO	50.99	10
M5CTT008G0	B00RW0TOT4	57.99	6
M5CTT009G0	B00RW0TQPQ	57.99	6
M5CTT010G0	B00RW0TSJ0	61.99	1
M5CTT011G0	B00RW0TUG6	61.99	1
M5CTT012G0	B00RW0U4GG	54.99	15
M5CTT013G0	B00RW0U6AU	54.99	15
M5CTT014G0	B00RW0T9YY	39.99	7
M5CTT015G0	B00RW0TBYM	82.99	9
M5CTT016G0	B00RW0TE4E	82.99	9
M5CTT017G0	B00RW0TG42	40.99	1
M5CTT019G0	B00RW0TJJY	60.99	10
M5CTT020G0	B00RW0TLBA	60.99	9
M5CTT021G0	B00RW0TN1I	41.99	9
M5CTT022G0	B00RW0TOSA	41.99	9
M5CTT023G0	B00RW0TYCG	41.99	7
M5CTT024G0	B00RW0U0M4	39.99	7
M5CTT025G0	B00RW0UEKC	39.99	6
M5CTT026G0	B00RW0UKZQ	79.99	59
M6-ZRYW-0P0C	B004S3TH3Q	119.99	10
NQ-DGCV-RQ86	B00FZIC3ZM	26.99	1
O4-02SM-XG0T	B008TY9O2E	80.99	1
OJ-JXWK-4LPW	B00FZIAA34	26.99	1
Q3-EVZZ-UCPE	B00FZJB6G8	36.99	1
Q3-IY8A-UCPC	B00FYKNX8C	48.99	2
QA-8TI6-XVGM	B008TY1V2K	53.99	1
QS-ISRH-NM9E	B00FZIF00M	26.99	1
T9-8U90-A3T1	B00RY4NKES	84.99	1
U8-PUUT-PY1H	B00FZIC3KW	26.99	1
V1-WP0U-1JAL	B004S30WG2	69.99	
VI-JT7Z-SV7S	B00FXRC7Q0	68.99	1
VM-F6ZG-CH5H	B00FYJ5F7U	52.99	1
W0-06Q1-IWWE	B00FZIBG28	26.99	2
W9BGA002R0	B00T3QP9JE	26.99	1
W9BGA003R0	B00T3R6CEE	28.99	1
W9BGA004R0	B00T51AFWI	33.99	1
W9BGA007R0	B00T534DYW	38.99	1
W9BGA010G0	B00T5CX14Q	23.99	1
W9BGA011G0	B00T5CX2RM	31.99	1
W9BGA012R0	B00T5CX4C0	44.99	1
W9BGA013P0	B00T5CX5IS	32.99	1
W9BGA014G0	B00T3TUQMG	32.99	1
W9BGA016G0	B00T5CX7RM	32.99	1
W9BGA019G0	B00T5CYUEG	19.99	1
W9BGA01G0	B00T8IBKA4	33.99	1
W9BGA020G0	B00T5CYWBW	43.99	1
W9BGA021G0	B00T3TO992	26.99	1
W9BGA022G0	B00T5CYXWK	24.99	1
W9BGA023S0	B00T71FRH4	24.99	1
W9BGA024S0	B00T71FT6S	24.99	1
W9BGA025S0	B00T71FV02	24.99	1
W9BGA026S0	B00T71FWXS	24.99	1
W9BGA027S0	B00T71FYEU	24.99	1
W9BGA028S0	B00T71G020	29.99	1
W9BGA029S0	B00T71G28W	29.99	1
W9BGA030S0	B00T71G3ZE	29.99	1
